name,genres,year,url,description
Адзуманга, Комедия  Повседневность  Сёнэн  Школа,2002,https://animestars.org/aniserials/video/comedy/680-adzumanga.html,"Эта история покажет вам жизнь в Японской школе со стороны, так сказать. Не часто выдается такая возможность, да и как происходит учеба и веселье в Японской старшей школе можно узнать только с просторов экранов мониторов или телевизоров. Редко кто с наших просторов снимает видео о жизни в школах Японии. Главных героев тут нет, лишь группа девушек, за жизнью которых и нужно будет..."
Адская девочка, Драма  Мистика  Психология  Сэйнэн  Ужасы,2005,https://animestars.org/aniserials/video/drama/177-adskaya-devochka.html," Аниме «Адская девочка» было создано «Studio Deen», подарившей нам такие сериалы, как Fate/stay night , Hetalia: Axis Powers, Vampire Knight и многие другие. Впервые аниме было показано на японском телевидении в 2005 году. Автор оригинального сюжета - Хироши Ватанабэ. Сериал отличается качественной рисовкой, потрясающим, проникающим в сердце саундтреком и интригующим сюжетом. Первый..."
Айшилд 21, Комедия  Сёнэн  Спорт  Школа  Многосерийные,2005,https://animestars.org/aniserials/video/comedy/12-ayshild-21-zabralo-21.html,"Сэна перешел в среднею школу Японии. Надеялся что тут его не буду донимать и он проведет спокойную школьную жизнь. Почему же наш герой так боится этого, так в младшей школе его частенько задирали и постоянно по что то отправляли, так он развил кстати не плохую скорость и маневренность. Ему еще частенько помогает во всем подруга детства и беспокоится как о ребенке. Все же в новой..."
Академия магии, Гарем  Кемонобито  Комедия  Пародия  Романтика  Сэйнэн  Фэнтези  Школа  Этти,2008,https://animestars.org/aniserials/video/garem/1073-akademija-magii.html,"Академия магии во время обучения должна давать тебе знания помимо магии. Это не так просто, как вы можете подумать. Вы только представьте. Сперва, наш главный герой по имени Такуто Хасэгава идет на урок по магическим искусствам, затем у нас идет урок литературы, затем может идти урок математики. Да, от такого смешивания предметов голова может пойти кругом. На то Аниме «Macademi..."
Акашийские хроники худшего преподавателя магии, Гарем  Сёнэн  Фэнтези  Школа  Этти,2017,https://animestars.org/aniserials/video/garem/132-akashiyskie-hroniki-hudshego-prepodavatelya-magii.html," Люмия и Систи – юные ученицы престижной академии магии в академическом городке Феджит. Они очень трудолюбивые и целеустремленные ученицы. Однажды направляясь в академию, они размышляли о том, кто заменит их любимого учителя. По пути на них наткнулся странный парень, против которого они использовали магию. Как окажется позже именно он и является их новым учителем. По данным, которые..."
Акварион 1 сезон, Экшен  Драма  Меха  Романтика  Сверхъестественное  Фантастика,2005,https://animestars.org/aniserials/video/action/997-akvarion-1-sezon.html,"Существует легенда, что в мире, более двенадцати тысяч лет назад, существовали загадочные субъекты Теневые Ангелы, стремящиеся уничтожить цивилизацию. Аниме «Акварион» расскажет о событиях современности. Уже в тот период, появление неизвестного защитника помогло Земле обрести счастье, а обитателям планеты – выжить. Один с ангелов по имени Аполлоний, случайно влюбляется в землянку,..."
Акварион 2 сезон, Экшен  Драма  Комедия  Меха  Романтика  Фантастика  Фэнтези,2012,https://animestars.org/aniserials/video/action/998-akvarion-2-sezon.html,"В предыдущий раз, Тёмным Ангелам удалось справиться с людьми, они уничтожили большую часть населения и взяли контроль над планетой. Аниме «Акварион 2 сезон» поведает, что некоторые обитатели Земли сумели выжить, но все они разбросаны по миру. Существует всего одна вселенная, планета Вега, где все вокруг напоминает Землю. Именно сюда перерождаются главные герои Аполло и Сильвия,..."
Пилоты звёздных кораблей, вы  определенно  никогда не видели в своей жизни. Вы только представьте себе  что в армии разрешили бы снимать всё  что только можно  начиная от планов подготовки  до штурма или прямая трансляция сверхсекретного задания. Нафантазировать можно всё  что угодно. Ни в одной армии мира такого нет. Вся информация очень строго фильтруется. Не...,Перед вашими глазами предстанет нечто необычное. Такого,https://animestars.org/aniserials/video/war/644-piloty-zvezdnyh-korabley.html,"Перед вашими глазами предстанет нечто необычное. Такого, вы, определенно, никогда не видели в своей жизни. Вы только представьте себе, что в армии разрешили бы снимать всё, что только можно, начиная от планов подготовки, до штурма или прямая трансляция сверхсекретного задания. Нафантазировать можно всё, что угодно. Ни в одной армии мира такого нет. Вся информация очень строго фильтруется. Не..."
Акварион 3 сезон, Экшен  Драма  Комедия  Меха  Романтика  Фантастика  Фэнтези,2015,https://animestars.org/aniserials/video/action/999-akvarion-3-sezon.html,"Никто не верил в существование языка кандзи, пока аниме «Акварион 3 сезон» не даст о себе знать. Оказывается, все, что у человека на уме, рано или поздно превратиться в могущественную силу. Текст, написанный в мыслях, довольно быстро, по каждой строчке, становиться реальностью. Повелитель преисподней, наделяет кандзи властью, после чего, население погибает. Придя в наш мир,..."
Аккун и его девушка, Дзёсэй  Комедия  Романтика  Школа,2018,https://animestars.org/aniserials/video/josei/301-akkun-i-ego-devushka.html,"Аккун всегда очень груб со свой девушкой, но она никогда не сетует, и не отвечает грубостью на его нецензурные слова в свой адрес. Аккун на самом деле любит ее и считает чуть ли не ангелом, но быть таким же милым, как она не может. Девушка знает, что он говорит ей постоянно гадости и общается очень грубо с ней не потому, что она на самом деле его бесит, а потому, что так он..."
Актёры города Мэкаку, Драма  Комедия  Мистика  Приключения  Романтика  Сверхъестественное  Фантастика,2014,https://animestars.org/aniserials/video/drama/458-aktery-goroda-mekaku.html,"Как вы себе представляли идеальную жизнь Хикикомори? Сложно себе её представить так как у каждых своих пожеланий и запросы. Скажем, если бы у вас было неограниченное количество денег, смогли бы вы сидеть дома и вообще не работать? Думаю, от этого можно сойти с ума, но со мной согласятся не все, так что на вкус и цвет. Герой же нашего Аниме по имени Кисараги Синтаро, тот еще..."
Акудама Драйв, Экшен  Киберпанк  Фантастика,2020,https://animestars.org/aniserials/video/action/915-akudama-drajv.html,"Япония подарит новое противостояние в аниме «Акудама Драйв». По стечению обстоятельств, два, совершенно разных участка Земли станут величайшими врагами. Война разворачивается в Токио, что вместил в себя Канто, и Киото – территориальная полоса Кансай. Но, схватка обернулась провалом, для всех подразделений, находившихся в окрестности. Оказывается, Кансай, уже в первой схватке..."
Алдноа.Зеро 1 сезон, Экшен  Война  Драма  Меха  Сэйнэн  Фантастика,2014,https://animestars.org/aniserials/video/action/339-aldnoazero-1-sezon.html,"Несмотря на то, что луна для нас остается самым досягаемым местом, в плане полетов в космос, полеты на неё практически не происходят, а если быть точным, то вообще прекратились. Но, это у нас, а в мире данного произведения экипаж «Аполлон 17» обнаружил портал, который дает возможность переместится сразу на Марс. Какая удача, ведь на улице 1972 год, а люди уже во всю могут..."
Алдноа.Зеро 2 сезон, Экшен  Война  Драма  Меха  Сэйнэн  Трагедия  Фантастика,2015,https://animestars.org/aniserials/video/action/56-aldnoazero-2-sezon.html,"Земля и Марс. Первые планеты, которые были заселены человечеством. Жили себе, первое время, и не тужили. Но, как говорится, всему свое время. И это самое время пришло. Началась крупная война. Как вы уже могли догадаться, она не могла длиться вечно и было подписано мировое соглашение. Оно было очень хрупким и после небольшой манипуляции Марса, как вы уже знаете с первого сезона,..."
Алиса или Алиса, Комедия  Повседневность  Сэйнэн  Этти,2018,https://animestars.org/aniserials/video/comedy/907-alisa-ili-alisa.html,"Двум красавицам-сестрам по имени Алиса, предстоит нелегкая судьба. В экранизации «Алиса или Алиса», вместе с девочками живет родной брат, но почему-то он считает себя больным симптомами «сестер». Мир, знает девушек более по именам Риса и Айри, а значит, с ними легко обсудить светлое будущее. Ежедневно, героиням приходиться несладко, они встречают на пути безумных людей, влюбляются в..."
Алый Нексус, Экшен  Фантастика  Фэнтези  Новинки,2021,https://animestars.org/aniserials/video/action/1114-alyj-neksus.html,"Стремление человечества изучить что-то новое, иногда, может стать единственной причиной его спасения. Примерно это и произошло в мире Аниме «Scarlet Nexus» где люди столкнулись с очередной угрозой уничтожения своей расы. Понимаете, люди способны противостоять не земной угрозе в том случае, если они объединят свои способности и будут стараться помогать друг другу не смотря на разницу..."
Альтернативная игра богов, Комедия  Пародия  Приключения  Сёдзё  Сэйнэн  Фантастика  Фэнтези,2013,https://animestars.org/aniserials/video/comedy/179-alternativnaya-igra-bogov.html," Неизведанный, очень красочный виртуальный мир Гаминдустри постоянно находится в состоянии войны между четырьмя странами, которыми правят богини. Красота огромных островов, парящих в воздухе, меркнет в кровопролитной войне, длившейся уже много лет. Богини ведут сражение за право обладать энергией молитв людей Шейр, являющейся основой для всего в мире Гаминдустри. Богиня Нептуния..."
Аманчу! 1 сезон, Комедия  Повседневность  Сёнэн  Школа,2016,https://animestars.org/aniserials/video/comedy/690-amanchu-1-sezon.html,"Практически безграничные океанические просторы покрыты множеством тайн. На сегодняшний день очень мало известно о глубоководных формах жизни, да и жизни в океанах, в целом. Однако, это никак не мешает дайверам наслаждаться красотами доступных для простого человека глубин. Нырнуть на глубину и понаблюдать за красивейшей флорой и фауной подводного мира, что же может быть красивее для..."
Аманчу! 2 сезон, Комедия  Повседневность  Сёнэн  Школа,2018,https://animestars.org/aniserials/video/comedy/691-amanchu-2-sezon.html,"Вдоволь познав вкус погружения под воду и пройдя очень тяжелый путь от обычного школьного бассейна до полноценного погружения под воду океана в сопровождении учителя и новых друзей. Пришло лет, а соответственно и летние каникулы. Постоянные посетители замечательного кафе Аманчу, в очередной раз собираются заняться своим любимым делом. Погрузиться в морскую пучину и почувствовать..."
Амнезия, Гарем для девушек  Детектив  Драма  Приключения  Романтика  Сёдзё  Фэнтези,2013,https://animestars.org/aniserials/video/garem-dlya-devushek/11-amneziya-amnesia.html,"Говорят, самое страшное для отдельного человека и всего человечества будет тогда, когда у них пропадет память: родовая, личная, семейная. Зачем тогда жить, если не помнишь, какие поступки совершал вчера, что волновало и радовало, что приносило счастье и создавало цель в жизни? Похоже, героиня этого сериала попала в такую ловушку, из которой ей самой никак не выпутаться. Однажды она..."
Ангел кровопролития, Приключения  Психология  Триллер  Ужасы,2018,https://animestars.org/aniserials/video/adventure/310-angel-krovoprolitiya.html,"Аниме, основанное на популярной компьютерной игре, расскажет о злоключениях девочки по имени Рэйчел Гарднер. Ей всего 13 лет и ее судьбе не позавидуешь. Однажды она проснулась и поняла, что находится в странном месте – где-то в подземелье. Как она там оказалась она совершенно не понимает. В ее памяти сохранилось лишь то, что она шла в больницу, где должна была пообщаться со своим..."
Ангелы смерти, Комедия  Меха  Приключения  Фантастика  Этти,2004,https://animestars.org/aniserials/video/comedy/1017-angely-smerti.html,"В будущем, территория Земли погружается в хаос, возникает множество воин и завоеваний. История аниме «Ангелы смерти» расскажет о событиях в Токио, будораживших целое поколение. Правительство соглашается пойти на поступки людей, и впервые, в городе появился шанс пользоваться орудием. Действительно, местные жители могут получить законно любое вооружение, усовершенствовать его, и в..."
Ангельские ритмы!, Драма  Комедия  Мистика  Сверхъестественное  Школа,2010,https://animestars.org/aniserials/video/drama/368-angelskie-ritmy.html,"А где вы боитесь оказаться после смерти? Хороший вопрос. У каждого свои страхи и если Рай или Ад существует, то логично предположить, что в Ад не хочет никто. Как идет распределение никто не знает и эта тайна покрыта мраком. В каждой религии свои мнения на этот счет и Рай с Адом отличаются. В данном же тайтле нам покажут ни Рай, ни Ад. Тут скорее чистилище, в которое попадают души,..."
Анголмуа: Хроники монгольского нашествия, Война  Драма  История,2018,https://animestars.org/aniserials/video/war/345-angolmua-hroniki-mongolskogo-nashestviya.html,"Действие разворачивается на японском острове Цусима. Он расположен в Корейском проливе и раньше этот остров у японцев не пользовался популярностью, на него ссылали преступников. В конце 13 века сюда на нескольких судах отправили сразу большое количество осужденных молодых людей. Обычно таких, как они казнили в те времена, и поэтому они гадали, с чего это вдруг их отправили на..."
Аполлон с холма, Дзёсэй  Драма  Музыка  Романтика  Школа,2012,https://animestars.org/aniserials/video/josei/773-apollon-s-holma.html,"Аниме переносит нас в Японию 70-х годов. В центре внимания старшеклассник Каору Нишими. Ему пришлось переехать и пойти в новую школу на юге страны. Ему не привыкать менять школы, и поэтому у него нет никакого страха. Нишими не стесняется показать свои знания, любовь к книгам. Он не боится, что все будут считать его ботаником. У него отличные оценки и он планирует поступить в хороший..."
Аптека в другом мире, Комедия  Фэнтези  Новинки,2021,https://animestars.org/aniserials/video/comedy/1129-apteka-v-drugom-mire.html,"Нам с вами не привыкать видеть приключения попаданцев в другой мир. Аниме «Аптека в другом мире» не стало исключением. Скорее, история, которую нам с вами покажут, будет не совсем обычной. Видеть подростков в другом мире с силой, способной уничтожить континент, мы уже привыкли. А как насчет простого парня, который решил построить свою жизнь будучи обычным фармацевтом. Теперь его..."
Арена ангелов, Драма  Комедия  Сёнэн  Спорт  Фантастика,2001,https://animestars.org/aniserials/video/drama/774-arena-angelov.html,"Пойти по стопам своих родителей способен, далеко, не каждый. В первую очередь, нужно задуматься о том, а способен ли ты осилить ту профессию, которой твои родители посвятили всю свою жизнь. Главная мать нашей героини своими выступлениями на «Арене Ангелов» невольно привила любовь своей дочери к этому делу. Мисаки Судзухара решила во что бы то не стало стать такой же как и её мать, а..."
Арифурэта: Сильнейший ремесленник в мире, Экшен  Вампиры  Гарем  Приключения  Романтика  Фэнтези,2019,https://animestars.org/aniserials/video/action/519-arifureta-silneyshiy-remeslennik-v-mire.html,"Ваша жизнь изменится одночасье, стоит вам попасть в другой мир. С другой стороны, далеко не факт, что вам перепадут хоть какие-то способности для удачного выживания в этом мире. Особенно будет грустно, если в параллельный мир попадете не только вы, а еще и охапка друзей в придачу. Разнообразие идей, которое можно придумать и реализовать великое множество, однако, тут мы имеем..."
Арпеджио голубой стали, Экшен  Романтика  Сэйнэн  Фантастика,2013,https://animestars.org/aniserials/video/action/633-arpedzhio-goluboy-stali.html,"Сложно предположить вторжение тех или иных сил в наш мир. Сегодня на просторах нашей планеты тишина и спокойствие. Завтра, начинается тотальная война на уничтожение. В этой войне не будет победителей или проигравших. В целом, если не найти понимания и путей к сосуществованию, мир будет полностью уничтожен. Вести переговоры, можно, двумя путями. Одни, как и всегда, будут предлагать..."
Арте, Драма  История  Повседневность  Романтика  Сэйнэн,2020,https://animestars.org/aniserials/video/drama/737-arte.html,"Очень сложно коротко описать происходящее на ваших экранах. Вы себе даже представить не можете, какие тяжбы несли женщины во времена Ренессанса. Быстренько перенесемся в Италию, во Флоренцию. Естественно, мы будем рассматривать те самые далекие времена, когда девушек очень сильно угнетали и не разрешали рисовать. А вы как думали? Художниками, издавна, считались только мужчины и..."
"Астра, затерянная в космосе", Комедия  Приключения  Сёнэн  Фантастика,2019,https://animestars.org/aniserials/video/comedy/489-astra-zateryannaya-v-kosmose.html,"Каким вы представляете себе наше будущее? Думаю, что большинство скажет о путешествиях в космосе и колонизации планет, по началу, Солнечной системы. Люди с каждым днем стремятся воплотить эти желания в жизнь и с каждым годом делается все больше достижений в этом вопросе. Старания не одной страны ведут человечество к неминуемому будущему, быть колонизаторами космоса. Возможно, через..."
Бадминтон Аяно Ханэсаки, Комедия  Спорт  Сэйнэн  Школа,2018,https://animestars.org/aniserials/video/comedy/315-badminton-ayano-hanesaki.html,"Чего только не повстречаешь на просторах японской анимации. Баскетбол, футбол, фигурное катание на льду. Вот дошла очередь и до бадминтона. Стирание пальцев до мозолей, а иногда и до крови знакомо тем, кто тренируется до 7-го пота и выступает на соревнованиях. За участников Олимпиад отдельный разговор. Гениями не рождаются, гениями становятся. От самого рождения у людей примерно..."
Бакуман 1 сезон, Драма  Комедия  Повседневность  Романтика  Сёнэн,2010,https://animestars.org/aniserials/video/drama/353-bakuman-1-3-sezon.html,"Создание манги, на первый взгляд, кажется простым делом. Многие думают, что сидит там один человек, который вполне в состоянии за неделю нарисовать тридцать страниц и еще и отдохнуть. Как бы не так. В большинстве случаев мангакам помогают ассистенты. Порой, если бы не они, то вы могли бы не увидеть ту или иную мангу. Так же и тут. Два друга, решают стать одними из величайших мангак..."
Бакуман 2 сезон, Драма  Комедия  Повседневность  Романтика  Сёнэн,2011,https://animestars.org/aniserials/video/drama/951-bakuman-2-sezon.html,"Акито и Моритака с аниме «Бакуман 2 сезон» переходят в старшую школу. Когда все готовятся до вступительных экзаменов в ВУЗы, желают получить необходимое образование, после чего, зарабатывать большие деньги. Герои, выбрали для себя другой путь, и именно он перевернет их реальность. Оказывается, ребята собираются пожертвовать учёбой ради мангаками. Да, они мечтают, что однажды сумеют..."
Бакуман 3 сезон, Драма  Комедия  Повседневность  Романтика  Сёнэн,2012,https://animestars.org/aniserials/video/drama/952-bakuman-3-sezon.html,"Соперники с аниме «Бакуман 3 сезон» вырываются вперед. Почему-то их манга в разы опережает работу Ашироги Муто, и это не радует конкурентов. Нужно приложить максимальное количество силы, ведь времени сосем мало, чтобы закончить работу. Всего полгода отделяет конкурентов от финального испытания, но кто знает, что теперь предстоит пережить. Раньше, они чувствовали ненависть друг к..."
Бандиты, Экшен  Драма  Сэйнэн,2015,https://animestars.org/aniserials/video/action/782-bandity.html,"Действие аниме разворачивается в неком мрачном городе Эргостолуме. Он наполнен всякого рода преступниками. Здесь неимоверное количество головорезов, воришек, мошенников, продажных копов. И именно в этом небезопасном месте живут Ник и Уори. Они являются своеобразными санитарами города. Угрюмый и глуховатый Ник никого не боится, он обладает сверхъестественной силой. Вот только не он..."
Баракамон, Комедия  Повседневность,2014,https://animestars.org/aniserials/video/comedy/453-barakamon.html,"Любителей выбраться из городской суеты на дачу и прожить там в тишине и спокойствии хоть пару недель хватает с лихвой. Точно так же можно и сказать за людей, которые проживают в сельской местности. Все люди разные и как одним комфортно жить в селах, другим же, по факту, комфортно жить в городе и видеть из окна небоскребы в порядке вещей. История же нам расскажет о том, как бедного..."
